Index,Provider,Size,Complexity,amb_wrds,punc_freq,acronym,connective_wrd,imprecise_wrd,grammar_chk,spell_chk
31,Carta,2994,7.31,0.210420842,0.014959432,0.041416166,0.093854375,0.018704075,1.048387097,0.109218437
32,salesforce,8068,7.33,0.127416956,0.01752207,0.026400595,0.098289539,0.019459593,1.028169014,0.070897372
33,Amplitude,6220,6.51,0.133118971,0.015618309,0.041318328,0.118006431,0.016398714,0.474708171,0.06511254
34,riskified,5737,6.38,0.123758062,0.013602015,0.039916333,0.098309221,0.023357155,0.528384279,0.060833188
35,talkdesk,3090,6.69,0.145631068,0.019408996,0.034951456,0.081553398,0.009061489,1.703703704,0.070873786
36,Delphi,3467,7.52,0.17969426,0.015203445,0.032016152,0.087395443,0.025959042,1.594594595,0.087395443
37,Mailchimp,9188,6.88,0.102416195,0.016096305,0.039399216,0.095232912,0.023617762,1.439226519,0.073356552
38,SAP,5399,7.54,0.16188183,0.013311726,0.027782923,0.087423597,0.014632339,1.106666667,0.072606038
39,Databricks,3806,7.2,0.157908565,0.014825947,0.026537047,0.094587493,0.018654756,1.514851485,0.072779821
40,IBMcloud,2117,7.72,0.217288616,0.012481062,0.036844591,0.093056212,0.022201228,0.602564103,0.081247048
41,cohesity,6129,6.65,0.140316528,0.01405275,0.037200196,0.084842552,0.026594877,0.535087719,0.07195301
42,ServiceTitan,4629,6.78,0.158997624,0.013762871,0.042989847,0.088139987,0.026355584,0.291457286,0.076906459
43,Uptake,2718,6.77,0.192420898,0.016679666,0.058130979,0.09749816,0.024282561,0.518987342,0.091243561
44,Jfrog,3197,7.16,0.175164216,0.013262074,0.038473569,0.097278699,0.017203628,1.284552846,0.081326243
45,Confluen,4164,7.11,0.165946206,0.015717381,0.034101825,0.101344861,0.02209414,0.669014085,0.087175793
46,TripActions,5604,6.88,0.162740899,0.018497637,0.039614561,0.099928622,0.020521056,0.364864865,0.086188437
47,Cloudinary,4972,6.54,0.139179405,0.013281972,0.040024135,0.102976669,0.010458568,0.854271357,0.068181818
48,pointclickcare,5400,7.27,0.165185185,0.014703835,0.031111111,0.098888889,0.018888889,0.422619048,0.08
49,Braze,6034,7.98,0.171196553,0.015377086,0.029499503,0.096950613,0.015909844,0.747191011,0.07623467
50,YARDI,4813,7.32,0.161437773,0.015677455,0.027633493,0.093081238,0.01994598,1.631578947,0.084354872
51,AppDirec,4494,6.9,0.15576324,0.017064503,0.039830886,0.088340009,0.020249221,0.865921788,0.084779706
52,redha,5888,6.86,0.142493207,0.015942223,0.030570652,0.102581522,0.01953125,0.355555556,0.069633152
53,yotpo,3894,6.8,0.182074987,0.01499287,0.051617874,0.088854648,0.017462763,0.771144279,0.081664099
54,azure,35193,1.88,0.058221805,0.014875907,0.044810047,0.089478021,0.017588725,0.70577045,0.050180434
55,Auth0,4371,7.63,0.166323496,0.017643107,0.030885381,0.093571265,0.015785861,2,0.111187371
56,Rackspace,3265,8.27,0.182235835,0.015881684,0.040735069,0.101684533,0.022052067,1.458646617,0.098009188
57,Fuze,4128,6.9,0.165939922,0.014823871,0.038032946,0.092296512,0.022044574,0.732484076,0.080184109
58,Walkme,3789,7.08,0.151227237,0.016276379,0.033518079,0.081024017,0.009237266,1.818897638,0.071258907
59,Darktrace,4343,7.03,0.177987566,0.012751653,0.043748561,0.083813032,0.018190191,0.957894737,0.081510477
60,Stripe,5084,6.52,0.141424076,0.014181268,0.044059795,0.098347758,0.016719119,0.245535714,0.072974036
61,c3,2310,7.6,0.216450216,0.011573286,0.041991342,0.094805195,0.017748918,0.731958763,0.073593074
62,Sumologic,2403,8.02,0.225551394,0.015825218,0.026217228,0.096545984,0.01414898,0.793650794,0.089055347
63,Icertis,3673,7.22,0.191396678,0.014809912,0.040021781,0.092839641,0.017424449,1.224489796,0.091750613
64,pcloud,3776,6.89,0.183527542,0.014010883,0.047404661,0.093220339,0.017213983,0.687150838,0.082627119
65,smsassis,2008,7.37,0.207171315,0.014614909,0.038844622,0.105079681,0.020418327,0.320512821,0.084163347
66,Datasta,5006,8.57,0.140831003,0.016746843,0.015581302,0.101877747,0.008190172,2.782051282,0.068517779
67,Pendo,3249,7.36,0.197907048,0.0143277,0.03601108,0.075407818,0.016620499,0.837606838,0.081563558
68,automationanywhere,1556,8.36,0.263496144,0.01559108,0.025706941,0.094473008,0.01285347,1,0.095758355
69,Gainsigh,4369,6.84,0.160906386,0.015147796,0.03822385,0.085603113,0.017395285,0.766467066,0.07690547
70,Navisite,1589,8.86,0.234738829,0.011355105,0.024543738,0.099433606,0.009439899,2.435897436,0.078665828
71,Collibra,3430,7.07,0.19271137,0.01428953,0.04606414,0.098833819,0.015451895,0.601265823,0.091253644
72,googlecloud,8590,6.28,0.117229336,0.012529644,0.03911525,0.085797439,0.026542491,0.794642857,0.063795111
73,dialpad,3206,7,0.189332502,0.013646477,0.039613225,0.089831566,0.023705552,1.11023622,0.084840923
74,ncino,3311,7.45,0.182120205,0.01403716,0.041075204,0.109936575,0.022651767,1,0.083056478
75,netskope,5581,6.82,0.162515678,0.015661174,0.03924028,0.093173266,0.01953055,0.96803653,0.084751837
76,Guildeducation,4322,6.88,0.166358168,0.014880437,0.042110134,0.093012494,0.019898195,0.543956044,0.085839889
77,Toas,6560,6.66,0.12347561,0.016826476,0.035365854,0.097865854,0.018292683,0.556034483,0.073932927
78,Outreach,3949,7.14,0.172955179,0.016003512,0.031906812,0.082552545,0.020005065,0.587301587,0.084071917
79,DigitalOcean,2980,7.44,0.193959732,0.018551735,0.043959732,0.091275168,0.024496644,1,0.098322148
80,Checkr,4948,6.77,0.158245756,0.016717141,0.042845594,0.098423605,0.023039612,0.882075472,0.079830234
81,Blend,3436,6.86,0.173166473,0.018668609,0.0387078,0.107101281,0.025611176,0.413533835,0.088474971
82,egnyte,3476,6.98,0.182393556,0.013488519,0.038837745,0.095224396,0.020425777,0.977777778,0.077675489
83,Thoughtspo,2928,7.34,0.197404372,0.014403502,0.036202186,0.098019126,0.021174863,0.452830189,0.091530055
84,Canva,6314,6.61,0.132404181,0.013993879,0.037852392,0.07950586,0.022331327,0.958158996,0.063192905
85,Vlocity,5451,7.3,0.180517336,0.017028381,0.031737296,0.104201064,0.019445973,0.791907514,0.091359384
86,ScienceSof,1619,8.05,0.24583076,0.014948859,0.0284126,0.069178505,0.011117974,1.304347826,0.103767758
87,Dataminr,2816,7.07,0.187855114,0.017712299,0.037642045,0.095525568,0.020596591,0.716981132,0.094105114
88,Mixpanel,5302,6.76,0.160128253,0.014897906,0.040739344,0.090343267,0.019803848,0.726851852,0.081855903
89,HashiCorp,3652,7.29,0.190032859,0.015179862,0.034775465,0.097754655,0.017250821,0.763779528,0.077765608
90,Sprinklr,3802,7.64,0.198842714,0.012414452,0.03419253,0.091530773,0.014203051,1.392307692,0.08337717
91,Datadog,3614,7.31,0.164084117,0.016178474,0.028500277,0.100166021,0.020199225,0.951456311,0.081627006
92,appsflyer,2384,7.85,0.19966443,0.019029496,0.031459732,0.083892617,0.021392617,1.333333333,0.091442953
93,Sitecore,6871,6.61,0.137971183,0.012041932,0.039586669,0.120360937,0.02255858,0.933823529,0.062872944
94,Grandrounds,7290,6.38,0.133607682,0.014131737,0.040192044,0.096433471,0.021262003,0.423208191,0.069821674
95,Pindrop,3041,7.23,0.20092075,0.016833977,0.039460704,0.09010194,0.021374548,0.791666667,0.103255508
96,Tanium,3347,7.38,0.187033164,0.011448983,0.032267702,0.101882283,0.016731401,0.981481481,0.073498656
97,Freshworks,6060,6.81,0.144554455,0.020533244,0.037128713,0.095379538,0.013531353,1.186666667,0.084653465
