Index,Provider,Complexity,amb_wrds,connective_wrd,imprecise_wrd,grammar_chk,spell_chk,Size,punc_freq,acronym
25,Illumio,0.261294261,0.787430609,0.524028011,0.339232932,0.065518799,0.865994864,0.335873815,0.029933281,0.171390258
26,Lookou,0.157509158,0.614858242,0.316891274,0.42709598,0.010072747,0.615745123,0.251708716,0.204812868,0.320037687
27,cloudbees,0.142857143,0.478118797,0.446627316,0.103683505,0.041052966,0.536794402,0.00336476,0.295158876,0.018258389
28,VMware,0.105006105,0.272938644,0.316102523,0.282715786,0.071541899,0.457896763,0.160051565,0.474978474,0.336721892
29,cloudways,0.042735043,0.184820971,0.284338181,0.737441898,0.065065115,0.137786975,0.763096162,0.41761536,0.113185275
30,OneTrus,0.170940171,0.910246642,0.807027473,0.523652801,0.154733918,0.136907826,0.424363603,1.220225624,0.406684623
31,Segmen,0.266178266,0.237732162,0.510896954,0.258682729,0.174122862,0.231414903,0.415540877,0.24176005,0.463642547
32,Sisense,0.299145299,1,0.410910292,0,0.47687606,0.302120801,0.465614481,0.713569849,0.557381797
33,Onshape,0.065934066,0.242257577,0.307843903,0.379209117,0.060652945,0.300336139,0.448475046,0.126648273,0.000389868
34,Carta,0.203907204,0.779036831,0.628625416,0.361621773,0.06721785,1,0.314250371,0.438527732,0.023758202
35,salesforce,0.161172161,0.72183649,0.347420163,0.544783388,0.087802118,0.610702963,0.265847122,0.08457455,0.430398794
36,riskified,0.126984127,0.461067401,0.584345216,0.128271545,0.12638511,0.38748246,0.013427979,0.707770143,0.325323875
37,talkdesk,0.255189255,0.326413443,0.389999798,0.284454313,0.138586343,0.351138132,0.215773518,0.107266778,0.099224831
38,Delphi,0.202686203,0.58713235,0.274874939,0.254260327,0.117260529,0.674160173,0.285308222,0.112099049,0.017156255
39,mailchimp,0.080586081,0.426104347,0.358360494,0.524213514,0.046400048,0.491774316,0.000453912,0.150268015,0.538500036
40,SAP,0.233211233,0.518766172,0.41487929,0.245371491,0.052781193,0.454366763,0.04528799,0.006634305,0.313456367
41,Databricks,0.194139194,0.30273463,0.429317367,0.267672885,0.193238594,0.189385795,0.225088232,0.104770684,0.192157721
42,ServiceTitan,0.097680098,0.291917465,0.479771026,0.312399483,0.043318341,0.296251929,0.222593219,0.025673906,0.191048403
43,Confluen,0.161172161,0.525937677,0.326132699,0.180727203,0.010049908,0.43096522,0.092277398,0.218745306,0.322431418
44,BambooHR,0.136752137,0.440618724,0.403021167,0.357802742,0.03528022,0.517542634,0.054096687,0.087072628,0.113873124
45,Cloudinary,0.191697192,0.598900258,0.264331451,0.498779504,0.142003019,0.675816886,0.192493746,0.22754525,0.100941433
46,Braze,0.222222222,0.515417532,0.453046099,0.21203665,0.051748244,0.441849518,0.032306909,0.014782445,0.104056485
47,YARDI,0.192918193,0.336657857,0.364669947,0.217387546,0.274010942,0.423255375,0.131691586,0.317199299,0.057140501
48,AppDirec,0.136752137,0.460743104,0.283116299,0.262402714,0.04934418,0.681181156,0.007024112,0.181105814,0.145367966
49,yotpo,0.181929182,0.44795047,0.361221941,0.20447292,0.095902163,0.54656247,0.062662898,0.45582343,0.271234599
50,azure,0.315018315,0.510398501,0.436074,0.263043677,0.187554958,0.587288997,0.037220782,0.040835598,0.700049295
51,Auth0,0.247863248,0.678993089,0.375311547,0.398331544,0.07725381,0.584513979,0.279403359,0.273381206,0.406350255
52,Rackspace,1,0.352908024,0.352640691,0.364281455,0.501595333,0.363797131,0.033304914,0.526604214,0.859226267
53,Fuze,0.203907204,0.647209504,0.453425824,0.454662243,0.106089566,0.698064228,0.268757971,0.002578737,0.106962625
54,Walkme,0.120879121,0.29049387,0.43133785,0.173352619,0.062675316,0.4077442,0.176684984,0.48081775,0.095070412
55,Sumologic,0.157509158,0.52502441,0.464058789,0.544656928,0.010104383,0.577039448,0.142427155,0.078824337,0.014885519
56,pcloud,0.117216117,0.417741341,0.348092879,0.410018595,0.09302569,0.431893116,0.044615639,0.10794508,0.013757378
57,smsassis,0.223443223,0.609658421,0.390222265,0.174930976,0.01855824,0.677666498,0.247799863,0.189576471,0.337621303
58,Datasta,0.351648352,0.794252613,0.358439361,0.279571144,0.209200876,0.845558456,0.297284284,0.40754881,0.606829951
59,Pendo,0.240537241,0.535545759,0.228628096,0.405938737,0.237456629,0.718494441,0.169872296,0.059015503,0.534055384
60,automationanywhere,0.199023199,0.665127734,0.439432291,0.355515149,0.018472074,0.807973623,0.182014692,0.319271674,0.019375407
61,Gainsigh,0.68986569,0.57083253,0.381516259,0.414546909,1,0.725103828,0.194240255,0.059944185,0.935324379
62,Navisite,0.21001221,0.778455826,0.703582727,0.772366648,0.098261941,0.681296591,0.363901126,0.468248569,0.100967759
63,Collibra,0.308913309,0.785171138,0.449615754,0.269646483,0.091676384,0.754338379,0.327058103,0.118426595,0.26277096
64,dialpad,0.051282051,0.215514453,0.396538357,0.518446736,0.089922287,0.343603524,0.688827947,0.048832109,0.003858759
65,ncino,0.25030525,0.880187398,1,0.343445262,0.050370232,0.976982042,0.352008231,0.03692232,0.108230631
66,Toas,0.025641026,0.150639563,0.316023688,0.40508737,0,0.111193206,0.532723312,0.139818949,0.35591457
67,Outreach,0.166056166,0.473279985,0.380028691,0.494107638,0.039998948,0.403115665,0.080883506,0.082916558,0.179597086
68,Ionic,0.222222222,0.736081882,0.521062745,0.160246339,0.025020703,0.838991729,0.372051501,0.061480431,0.077354132
69,Checkr,0.16971917,0.460043684,0.491156877,0.322936085,0.069916974,0.711560915,0.030809901,0.516271759,0.295835554
70,Blend,0.129426129,0.432887074,0.364549226,0.446645606,0.03203709,0.481846399,0.098598097,0.037561284,0.201528527
71,egnyte,0.115995116,0.419993888,0.379721097,0.257735109,0.068699795,0.484731642,0.056425366,0.15196196,0.314867096
72,Canva,0.1001221,0.321463933,0.414440854,0.602897167,0.079427236,0.468517754,0.213444839,0.097884949,0.161055776
73,Vlocity,0.277167277,0.667559005,0.783933835,0.335314759,0.228921177,0.788451383,0.154486384,0.118844362,0.389115993
74,ScienceSof,0.136752137,0.038603778,0.339560751,0.192091311,0.167097017,0.058107514,0.504363333,0.388072532,0.252276085
75,Dataminr,0.253968254,0.803081096,0.573717697,0.303800401,0.163009658,0.86049685,0.331549126,0.01455366,0.062705241
76,Mixpanel,0.274725275,0.400310832,0.386911555,0.231327438,0.142625657,0.391911916,0.119881859,0.03168804,0.10885763
77,HashiCorp,0.2002442,0.772542112,0.502476087,0.790899529,0.044794158,0.877895562,0.318408725,0.201866441,0.143184343
78,Datadog,0.244200244,0.357737525,0.47111054,0.303563389,0.090506986,0.390812642,0.012014138,0.367243737,0.306358964
79,appsflyer,0.21001221,0.408309636,0.420991586,0.323636372,0.081908967,0.420897701,0.054353203,0.404807355,0.279182199
80,Sitecore,0.155067155,0.523095411,0.721859969,0.21351454,0.101184098,0.58340934,0.126043238,0.281433746,0.048526742
81,Dataiku,0.315018315,0.846570173,0.370342863,0.135180156,0.210886184,0.791394444,0.313086031,0.110044067,0.464234369
82,Grandrounds,0.145299145,0.570947234,0.795494855,0.580721001,0.007830553,0.49698192,0.133944112,0.424147996,0.230243345
83,Tanium,0.130647131,0.46195226,0.442870794,0.285656558,0.157252622,0.529864488,0.05959273,0.177603416,0.259495532
