Index,Provider,Complexity,amb_wrds,connective_wrd,imprecise_wrd,grammar_chk,spell_chk,punc_freq,acronym
65,smsassis,0.786532951,0.725611933,0.690945025,0.664403749,0.023401054,0.542976171,0.135203174,0.123111645
66,Datasta,0.958452722,0.402433146,0.629321407,0,0.791670149,0.292992581,0.168300058,1.02257765
67,Pendo,0.785100287,0.680480783,0.119887795,0.458052819,0.184790916,0.501436958,0.176090397,0.01643674
68,automationanywhere,0.928366762,1,0.486811658,0.253375319,0.235475335,0.72824025,0.003765037,0.523902645
69,Gainsigh,0.710601719,0.500230967,0.316103884,0.500149989,0.16258753,0.427010413,0.059341104,0.092539404
70,Navisite,1,0.859907891,0.582282082,0.067902583,0.683632308,0.455137268,0.599270566,0.581188932
71,Collibra,0.743553009,0.655169885,0.570738732,0.394557968,0.111026682,0.65626435,0.181524298,0.47866384
72,googlecloud,0.630372493,0.287456929,0.319843834,0.997153663,0.171381457,0.217534182,0.432062583,0.136439734
73,dialpad,0.733524355,0.638709629,0.39748363,0.84301161,0.269881087,0.553802425,0.273069657,0.160964378
74,ncino,0.797994269,0.603574712,0.784419588,0.785755327,0.235475335,0.52529071,0.217451822,0.232965007
75,netskope,0.70773639,0.50807068,0.46179715,0.616167333,0.225499238,0.552379016,0.013743655,0.142597305
76,Guildeducation,0.716332378,0.526789483,0.458702972,0.636142932,0.093139766,0.569763821,0.09740247,0.28393401
77,Toas,0.684813754,0.317885837,0.552109521,0.548909151,0.09690956,0.379515367,0.179636653,0.04821331
78,Outreach,0.753581662,0.558927017,0.257393418,0.641949599,0.106668314,0.541515311,0.06247907,0.218566785
79,DigitalOcean,0.796561605,0.661251317,0.425266832,0.88599475,0.235475335,0.769204322,0.425245421,0.375024389
80,Checkr,0.700573066,0.487269629,0.562843857,0.806828471,0.198669991,0.473742051,0.164071666,0.320154492
81,Blend,0.713467049,0.559956342,0.729852232,0.946551656,0.052433779,0.611866943,0.441883664,0.116373333
82,egnyte,0.730659026,0.604906349,0.501272683,0.664808537,0.228539573,0.439313713,0.29555664,0.122772962
83,Thoughtspo,0.782234957,0.678031982,0.555059355,0.705509325,0.064698538,0.660680822,0.165299185,0.007025009
84,Canva,0.67765043,0.361381634,0.198757683,0.768344562,0.222416368,0.207912185,0.223613328,0.074245564
85,Vlocity,0.776504298,0.595766288,0.674035383,0.611571932,0.170527731,0.657953855,0.208379954,0.226915235
86,ScienceSof,0.883954155,0.913942561,0,0.159078996,0.330465128,0.856213828,0.087661879,0.390652338
87,Dataminr,0.743553009,0.63151249,0.507068964,0.674089533,0.147142509,0.701824902,0.305742876,0.063886238
88,Mixpanel,0.699140401,0.496440269,0.407331699,0.631016688,0.150223253,0.506108022,0.094915574,0.216424324
89,HashiCorp,0.775071633,0.642121439,0.549969413,0.492300692,0.161748724,0.440753627,0.054776172,0.077289227
90,Sprinklr,0.8252149,0.685038908,0.430186141,0.326703362,0.357918222,0.5304147,0.448461376,0.105998044
91,Datadog,0.777936963,0.515711377,0.596377958,0.652499076,0.220324398,0.502450725,0.087386752,0.386334355
92,appsflyer,0.85530086,0.689041922,0.283184108,0.717340756,0.339511775,0.659289114,0.493259725,0.240584913
93,Sitecore,0.67765043,0.388501448,0.985044244,0.780692111,0.214821042,0.202799874,0.501493517,0.159656528
94,Grandrounds,0.64469914,0.367244524,0.524542237,0.710243984,0.055453236,0.313826107,0.203987791,0.189470486
95,Pindrop,0.766475645,0.695162122,0.40268718,0.716358996,0.17045256,0.84802914,0.180704499,0.15345291
96,Tanium,0.787965616,0.627508337,0.629408706,0.46407856,0.229695533,0.372576621,0.585906045,0.200793405
97,Freshworks,0.706303725,0.420572052,0.504258507,0.290207368,0.293735742,0.550807236,0.707334072,0.038605282
